"player","player_image_url","nation","specific_position","primary_position","secondary_position","squad","age","born","90s_played","minutes_played","tackles","tackles_won","dribblers_tackled","dribblers_challenged","percent_of_dribblers_successfully_tackled","unsuccessful_dribble_challenges","blocks","shots_blocked","passes_blocked","interceptions","tkl_plus_int","clearances","errors","aerials_won","aerials_lost","won_percent","passes_att","passes_cmp","pass_cmp_percent","gross_weekly_wages_usd","gross_yearly_wages_usd","team_possession_percentage","tackles_per90","tackles_won_per90","dribblers_tackled_per90","dribblers_challenged_per90","unsuccessful_dribble_challenges_per90","blocks_per90","shots_blocked_per90","passes_blocked_per90","interceptions_per90","tkl_plus_int_per90","clearances_per90","errors_per90","aerials_won_per90","aerials_lost_per90","passes_att_per90","passes_cmp_per90","won_percent_per90","tackles_per90_adj","tackles_won_per90_adj","dribblers_tackled_per90_adj","dribblers_challenged_per90_adj","unsuccessful_dribble_challenges_per90_adj","blocks_per90_adj","shots_blocked_per90_adj","passes_blocked_per90_adj","interceptions_per90_adj","tkl_plus_int_per90_adj","clearances_per90_adj","errors_per90_adj","aerials_won_per90_adj","aerials_lost_per90_adj","passes_att_per90_adj","passes_cmp_per90_adj","won_percent_per90_adj","tackles_per90_adj_zscore","tackles_won_per90_adj_zscore","dribblers_tackled_per90_adj_zscore","dribblers_challenged_per90_adj_zscore","unsuccessful_dribble_challenges_per90_adj_zscore","blocks_per90_adj_zscore","shots_blocked_per90_adj_zscore","passes_blocked_per90_adj_zscore","interceptions_per90_adj_zscore","tkl_plus_int_per90_adj_zscore","clearances_per90_adj_zscore","errors_per90_adj_zscore","aerials_won_per90_adj_zscore","aerials_lost_per90_adj_zscore","passes_att_per90_adj_zscore","passes_cmp_per90_adj_zscore","won_percent_per90_adj_zscore","percent_of_dribblers_successfully_tackled_zscore","pass_cmp_percent_zscore","won_percent_zscore","inverted_unsuccessful_dribble_challenges_per90_adj_zscore","inverted_aerials_lost_per90_adj_zscore","inverted_errors_per90_adj_zscore","composite_zscore","weighted_sum","value_score","weighted_value_score","tackles_per90_adj_percentile","tackles_won_per90_adj_percentile","dribblers_tackled_per90_adj_percentile","blocks_per90_adj_percentile","shots_blocked_per90_adj_percentile","passes_blocked_per90_adj_percentile","interceptions_per90_adj_percentile","clearances_per90_adj_percentile","percent_of_dribblers_successfully_tackled_percentile","pass_cmp_percent_percentile","won_percent_percentile"
"Adrien Tameze","https://images.fotmob.com/image_resources/playerimages/426393.png","CMR","D (R)  DM (C)","DF","MF","Torino",29,1994,23.8,2142,35,16,18,37,48.6,19,24,11,13,47,82,25,2,30,39,43.5,1276,1106,86.7,25353,1318400,51.97,1.47058823529412,0.672268907563025,0.756302521008403,1.5546218487395,0.798319327731092,1.00840336134454,0.46218487394958,0.546218487394958,1.97478991596639,3.4453781512605,1.05042016806723,0.0840336134453781,1.26050420168067,1.63865546218487,53.6134453781513,46.4705882352941,1.82773109243697,1.53090592889248,0.699842710350849,0.787323049144705,1.61838626768634,0.831063218541633,1.04976406552627,0.481141863366208,0.568622202160065,2.05578796165562,3.5866938905481,1.0935042349232,0.0874803387938561,1.31220508190784,1.70586660648019,55.8124561504802,48.3766273530024,1.90269736876637,0.0097198633336634,-0.600301850621778,0.111225286006318,0.789076222326594,1.40069012658144,-0.706435338600226,-0.933051153558368,0.145122908412978,2.13149244756227,1.146838818114,-3.03302105877095,1.1240876022168,-1.02767893798419,0.455992822699843,-0.0381404372768281,-0.0255763722612104,-0.76144573757511,-1.30106504374707,0.31097574628242,-1.69535094622947,-1.40069012658144,-0.455992822699843,-1.1240876022168,-6.51694377691552,-0.281470610671822,-4.94307021914102,-0.213494091832389,"57th percentile","31st percentile","59th percentile","26th percentile","17th percentile","55th percentile","96th percentile","0th percentile","12th percentile","60th percentile","4th percentile"
"Alberto Dossena","https://images.fotmob.com/image_resources/playerimages/822789.png","ITA","D (C)","DF","-","Cagliari",24,1998,33.1,2979,55,35,32,48,66.7,16,50,27,23,45,100,172,2,118,68,63.4,1305,1042,79.8,14658,762200,42.05,1.66163141993958,1.05740181268882,0.966767371601208,1.45015105740181,0.483383685800604,1.51057401812689,0.81570996978852,0.694864048338369,1.3595166163142,3.02114803625378,5.19637462235649,0.0604229607250755,3.56495468277946,2.05438066465257,39.4259818731118,31.4803625377643,1.91540785498489,1.43367680754062,0.912339786616757,0.834139233478178,1.25120885021727,0.417069616739089,1.30334255230965,0.703804978247213,0.59953757406244,1.17300829707869,2.60668510461931,4.48349837994521,0.0521337020923861,3.07588842345078,1.77254587114113,34.0172406152819,27.1616587901332,1.65263835632864,-0.162636799353037,-0.0116303384778858,0.260523186294525,0.0671589228075,-0.181693036458543,0.0974364981131661,-0.111775671644938,0.294052861029923,0.141545414627441,-0.0349140461827632,1.00551229001649,0.349148522837563,1.10139913982043,0.605392082259898,-1.17203086924209,-1.16801999612141,-1.02723313260261,0.353635457462818,-1.13635998079433,0.628065627106655,0.181693036458543,-0.605392082259898,-0.349148522837563,1.7642898154339,0.198246415284658,2.31473342355536,0.260097632228625,"44th percentile","55th percentile","65th percentile","59th percentile","52nd percentile","60th percentile","62nd percentile","84th percentile","62nd percentile","15th percentile","73rd percentile"
"Alessandro Bastoni","https://images.fotmob.com/image_resources/playerimages/805451.png","ITA","D (LC)","DF","-","Inter",24,1999,25.2,2268,46,33,26,40,65,14,25,11,14,23,69,48,1,37,29,56.1,1935,1671,86.4,201841,10495700,57.11,1.82539682539683,1.30952380952381,1.03174603174603,1.58730158730159,0.555555555555556,0.992063492063492,0.436507936507937,0.555555555555556,0.912698412698413,2.73809523809524,1.9047619047619,0.0396825396825397,1.46825396825397,1.15079365079365,76.7857142857143,66.3095238095238,2.22619047619048,2.12799816437028,1.52660737878737,1.20278157116581,1.85043318640894,0.647651615243128,1.15652074150559,0.508869126262458,0.647651615243128,1.06399908218514,3.19199724655542,2.22051982369073,0.0462608296602235,1.71165069742827,1.34156406014648,89.5147053925324,77.3018463622334,2.59523254393854,1.06817666714107,1.69004875611621,1.436132171898,1.24530984933079,0.699646845472602,-0.368004873581252,-0.830781313268801,0.525834703922744,-0.104181319284051,0.670890136567628,-1.69039630924903,0.220391764611042,-0.545477352672565,-0.360250891967062,1.71521033319648,1.53207062249759,-0.0253510118560725,0.198221598233159,0.248048105974736,-0.224242965122175,-0.699646845472602,0.360250891967062,-0.220391764611042,-1.57518994893596,-0.0993473762402402,-0.150079551524525,-0.00946553124043563,"84th percentile","96th percentile","89th percentile","39th percentile","23rd percentile","70th percentile","54th percentile","4th percentile","59th percentile","59th percentile","41st percentile"
"Alessandro Buongiorno","https://images.fotmob.com/image_resources/playerimages/823018.png","ITA","D (C)","DF","-","Torino",24,1999,28.1,2529,70,39,24,34,70.6,10,20,12,8,69,139,131,0,78,53,59.5,1187,1012,85.3,29316,1524400,51.97,2.49110320284698,1.38790035587189,0.854092526690391,1.20996441281139,0.355871886120996,0.711743772241993,0.427046263345196,0.284697508896797,2.45551601423488,4.94661921708185,4.66192170818505,0,2.77580071174377,1.88612099644128,42.2419928825623,36.0142348754448,2.11743772241993,2.59327837065061,1.44482652079105,0.889124012794494,1.25959235145887,0.370468338664373,0.740936677328745,0.444562006397247,0.296374670931498,2.55623153678417,5.14950990743478,4.85313523650328,0,2.88965304158211,1.96348219492118,43.974591799461,37.4913958728345,2.20428661505302,1.89297218574339,1.46349476211737,0.43587092589805,0.0836419478763294,-0.359814334663405,-1.68545230067328,-1.06797309461072,-1.16638684970948,3.25958391527366,3.03137529456441,1.44586431078408,-0.793829900974535,0.87658005835126,1.03319742085971,-0.654002257998263,-0.611755100827672,-0.440886924847668,0.710173134519091,0.0173134248465572,0.172722680573444,0.359814334663405,-1.03319742085971,0.793829900974535,6.93467966674582,0.579868230514722,4.54912074701248,0.38039112471446,"97th percentile","91st percentile","70th percentile","2nd percentile","12th percentile","13th percentile","100th percentile","94th percentile","80th percentile","52nd percentile","62nd percentile"
"Alessandro Vogliacco","https://images.fotmob.com/image_resources/playerimages/958401.png","ITA","D (CR)","DF","-","Genoa",24,1998,13,1170,23,15,12,15,80,3,16,10,6,30,53,40,1,25,21,54.3,626,494,78.9,3764,195700,44.13,1.76923076923077,1.15384615384615,0.923076923076923,1.15384615384615,0.230769230769231,1.23076923076923,0.769230769230769,0.461538461538462,2.30769230769231,4.07692307692308,3.07692307692308,0.0769230769230769,1.92307692307692,1.61538461538462,48.1538461538462,38,4.17692307692308,1.58334595420688,1.03261692665666,0.826093541325329,1.03261692665666,0.206523385331332,1.10145805510044,0.688411284437775,0.413046770662665,2.06523385331332,3.6485798075202,2.7536451377511,0.0688411284437775,1.72102821109444,1.44566369731933,43.0945464058047,34.0075174512261,3.73807327449712,0.102679540729976,0.321568250170143,0.234865286961479,-0.362620479861918,-0.98645139545381,-0.542559676775938,-0.168554107123712,-0.604337318506949,2.15278521724414,1.22146453646621,-1.05527888195872,0.715441862282929,-0.534157033258829,-0.127008836986735,-0.699786391215506,-0.799364838606723,1.18937289569408,1.56952035614191,-1.32514290171738,-0.434401248137503,0.98645139545381,0.127008836986735,-0.715441862282929,-1.01232823887,0.229399448861216,-5.17285763346957,1.17219953429339,"62nd percentile","67th percentile","63rd percentile","34th percentile","49th percentile","30th percentile","97th percentile","15th percentile","96th percentile","10th percentile","31st percentile"
"Alessio Romagnoli","https://images.fotmob.com/image_resources/playerimages/362195.png","ITA","D (C)","DF","-","Lazio",28,1995,26.8,2412,25,18,16,24,66.7,8,29,17,12,29,54,115,0,76,54,58.5,1759,1604,91.2,102802,5345700,52.82,0.932835820895522,0.671641791044776,0.597014925373134,0.895522388059702,0.298507462686567,1.08208955223881,0.634328358208955,0.447761194029851,1.08208955223881,2.01492537313433,4.2910447761194,0,2.83582089552239,2.01492537313433,65.6343283582089,59.8507462686567,2.18283582089552,0.98859243418347,0.711786552612098,0.632699157877421,0.949048736816131,0.31634957893871,1.14676722365283,0.67224285524476,0.474524368408066,1.14676722365283,2.1353596578363,4.54752519724396,0,3.00532099991775,2.1353596578363,69.557363669149,63.4280905772114,2.31330629598932,-0.951631455884199,-0.567214338039065,-0.381873898159614,-0.526926123578301,-0.566669256627487,-0.398924603445457,-0.228190093462864,-0.308178638995073,0.0823932294331365,-0.603266294396429,1.08178806685152,-0.793829900974535,1.01621176467638,1.41830013345192,0.676934809329316,0.78495738551016,-0.325010049544064,0.353635457462818,1.25489035089769,0.0559680788982621,0.566669256627487,-1.41830013345192,0.793829900974535,3.1507166608522,0.119248705978711,0.589392719541351,0.0223074070708628,"17th percentile","33rd percentile","44th percentile","38th percentile","47th percentile","39th percentile","60th percentile","86th percentile","62nd percentile","94th percentile","57th percentile"
"Amir Rrahmani","https://images.fotmob.com/image_resources/playerimages/544693.png","KVX","D (C)","DF","-","Napoli",29,1994,28.9,2601,33,27,16,32,50,16,24,10,14,20,53,90,0,79,46,63.2,2255,2028,89.9,63583,3306300,61.24,1.14186851211073,0.934256055363322,0.55363321799308,1.10726643598616,0.55363321799308,0.830449826989619,0.346020761245675,0.484429065743945,0.69204152249135,1.83391003460208,3.11418685121107,0,2.73356401384083,1.5916955017301,78.0276816608997,70.1730103806228,2.18685121107266,1.47299859663406,1.20518066997333,0.714181137761971,1.42836227552394,0.714181137761971,1.07127170664296,0.446363211101232,0.624908495541724,0.892726422202463,2.36572501883653,4.01726889991108,0,3.52626936769973,2.05327077106567,100.654904103328,90.5224592113298,2.82101549415978,-0.0929316303174146,0.799614167339913,-0.122025969899658,0.415464990428679,0.953938689164228,-0.638253738547498,-1.06132949195529,0.416273293819464,-0.490261261121771,-0.325478044836223,0.450088527391257,-0.793829900974535,1.64508868571279,1.23437460631835,2.29477628004215,2.24401157155982,0.214633388609691,-1.17307715967559,0.982203909564389,0.604714706771619,-0.953938689164228,-1.23437460631835,0.793829900974535,2.07459948116398,-0.0875062143048217,0.627468614815348,-0.0264665076686392,"49th percentile","86th percentile","52nd percentile","28th percentile","13th percentile","65th percentile","34th percentile","71st percentile","13th percentile","78th percentile","71st percentile"
"Ardian Ismajli","https://images.fotmob.com/image_resources/playerimages/750880.png","ALB","D (CR)","DF","-","Empoli",26,1996,22.7,2043,26,16,18,23,78.3,5,28,17,11,23,49,126,1,52,39,57.1,1042,864,82.9,17827,927000,44,1.14537444933921,0.704845814977974,0.79295154185022,1.01321585903084,0.220264317180617,1.23348017621145,0.748898678414097,0.484581497797357,1.01321585903084,2.15859030837004,5.55066079295154,0.0440528634361234,2.29074889867841,1.71806167400881,45.9030837004405,38.0616740088106,2.51541850220264,1.02265575833858,0.629326620516048,0.707992448080554,0.904657016991819,0.196664568911265,1.10132158590308,0.668659534298301,0.432662051604783,0.904657016991819,1.9273127753304,4.95594713656388,0.039332913782253,2.04531151667716,1.53398363750787,40.9848961611076,33.9836375078666,2.24590937696665,-0.891247891888563,-0.795649541813454,-0.141761845177093,-0.614205866209192,-1.02413416408282,-0.542992299218499,-0.241406892476595,-0.50984378077748,-0.463367515541888,-0.854141595556456,1.56834513797271,0.0685042513001098,-0.142689664569971,0.0708777734258518,-0.8095403977034,-0.800650793330075,-0.396646146020997,1.41410649691225,-0.486107697614918,-0.107488363446993,1.02413416408282,-0.0708777734258518,-0.0685042513001098,0.0717955772684469,0.0873513499552216,0.0774493821666094,0.0942301509765066,"18th percentile","21st percentile","49th percentile","33rd percentile","46th percentile","34th percentile","38th percentile","99th percentile","91st percentile","31st percentile","50th percentile"
"Armando Izzo","https://images.fotmob.com/image_resources/playerimages/301023.png","ITA","D (RC)","DF","-","Monza",31,1992,18.3,1647,27,17,16,27,59.3,11,20,16,4,27,54,49,1,19,20,48.7,1235,1122,90.9,62394,3244500,53.39,1.47540983606557,0.92896174863388,0.87431693989071,1.47540983606557,0.601092896174863,1.09289617486339,0.87431693989071,0.218579234972678,1.47540983606557,2.95081967213115,2.6775956284153,0.0546448087431694,1.03825136612022,1.09289617486339,67.4863387978142,61.3114754098361,2.66120218579235,1.58271812493625,0.996526226811714,0.93790703699926,1.58271812493625,0.644811087936991,1.17238379624908,0.93790703699926,0.234476759249815,1.58271812493625,3.1654362498725,2.87234030081023,0.0586191898124538,1.11376460643662,1.17238379624908,72.3946994183804,65.7707309695731,2.8547545438665,0.101566596826769,0.221587736436057,0.59144112426368,0.718948136916297,0.688789666608445,-0.317717236351889,0.751691459950984,-1.46457032564989,1.06510639934964,0.63886130748028,-0.913876167426603,0.491336248520259,-1.2672317285125,-0.739310353509909,0.824546465343034,0.911110510428531,0.250494580113372,-0.322871929772166,1.19196271059,-1.08822701751852,-0.688789666608445,0.739310353509909,-0.491336248520259,-2.43778625068255,-0.0655972078975344,-0.751359608778717,-0.0202179713045259,"60th percentile","65th percentile","80th percentile","44th percentile","80th percentile","5th percentile","89th percentile","17th percentile","34th percentile","88th percentile","10th percentile"
"Berat Djimsiti","https://images.fotmob.com/image_resources/playerimages/260964.png","ALB","D (RC)","DF","-","Atalanta",30,1993,31.5,2835,42,24,19,31,61.3,12,53,33,20,57,99,100,0,92,55,62.6,1661,1454,87.5,29316,1524400,51.11,1.33333333333333,0.761904761904762,0.603174603174603,0.984126984126984,0.380952380952381,1.68253968253968,1.04761904761905,0.634920634920635,1.80952380952381,3.14285714285714,3.17460317460317,0,2.92063492063492,1.74603174603175,52.7301587301587,46.1587301587302,1.98730158730159,1.36360537260517,0.779203070060096,0.616869097130909,1.00647063216096,0.389601535030048,1.72074011304938,1.07140422133263,0.649335891716747,1.85060729139273,3.2142126639979,3.24667945858373,0,2.98694510189703,1.78567370222105,53.9273458070758,47.2067193278075,2.03242134107342,-0.286851422577247,-0.380453258936374,-0.432356329919845,-0.41402740582397,-0.286682654240424,1.42063290979522,1.24408538184536,0.53394844152234,1.66897764076629,0.697678807823585,-0.467922248997205,-0.793829900974535,0.994028802058133,0.634805847587746,-0.136212813672143,-0.0885768881434767,-0.623562298238182,-0.140032095384333,0.478782787102911,0.534661945766509,0.286682654240424,-0.634805847587746,0.793829900974535,5.3535091330773,0.333485777118076,3.51187951526981,0.218765269691732,"39th percentile","38th percentile","41st percentile","89th percentile","86th percentile","73rd percentile","94th percentile","28th percentile","42nd percentile","63rd percentile","70th percentile"
