player,nation,primary_position,secondary_position,squad,age,born,90s,passess_att,passes_cmp,pass_cmp%
Tammy Abraham,ENG,FW,-,Roma,25,1997,2.7,40,19,47.5
Francesco Acerbi,ITA,DF,-,Inter,35,1988,26.5,1781,1615,90.7
Yacine Adli,FRA,MF,-,Milan,23,2000,15.6,1300,1125,86.5
Michel Aebischer,SUI,MF,-,Bologna,26,1997,24.8,1503,1370,91.2
Lucien Agoume,FRA,MF,-,Inter,21,2002,0.1,5,5,100
Marley Ake,FRA,FW,-,Udinese,22,2001,0.1,0,0,0
Ebenezer Akinsanmiro,NGA,MF,-,Inter,18,2004,0.2,8,7,87.5
Jean-Daniel Akpa-Akpro,CIV,MF,-,Monza,30,1992,7.8,263,220,83.7
David Akpan Ankeye,NGA,FW,-,Genoa,21,2002,0.6,9,8,88.9
Luis Alberto,ESP,MF,-,Lazio,30,1992,25.7,1679,1303,77.6
Carlos Alcaraz,ARG,MF,-,Juventus,20,2002,4.2,165,143,86.7
Pontus Almqvist,SWE,FW,MF,Lecce,24,1999,23.4,478,351,73.4
Lorenzo Amatucci,ITA,MF,-,Fiorentina,19,2004,0.2,25,22,88
Bruno Amione,ARG,DF,-,Hellas Verona,21,2002,6.4,273,217,79.5
Felipe Anderson,BRA,FW,MF,Lazio,30,1993,30.8,1336,1012,75.7
Angelino,ESP,DF,-,Roma,26,1997,12.7,715,546,76.4
Houssem Aouar,ALG,MF,FW,Roma,25,1998,8.4,359,300,83.6
Simone Aresti,ITA,GK,-,Cagliari,37,1986,0,1,0,0
Marko Arnautovic,AUT,FW,-,Inter,34,1989,8.9,271,203,74.9
Kristjan Asllani,ALB,MF,-,Inter,21,2002,8.7,744,662,89
Emil Audero,ITA,GK,-,Inter,26,1997,3.7,197,166,84.3
Tommaso Augello,ITA,DF,-,Cagliari,28,1994,26.9,1329,919,69.1
Carlos Augusto,BRA,DF,-,Inter,24,1999,19.2,1099,921,83.8
Yann Aurel Bisseck,GER,DF,-,Inter,22,2000,10,641,590,92
Sardar Azmoun,IRN,FW,MF,Roma,28,1995,6.5,156,108,69.2
Paulo Azzi,BRA,DF,MF,Cagliari,29,1994,10.6,487,322,66.1
Oussama El Azzouzi,MAR,MF,-,Bologna,22,2001,6.1,390,352,90.3
Milan Badelj,CRO,MF,-,Genoa,34,1989,28.2,1407,1136,80.7
Jaime Baez,URU,FW,MF,Frosinone,28,1995,5.6,202,141,69.8
Nicola Bagnolini,ITA,GK,-,Bologna,19,2004,0.1,3,2,66.7
Nedim Bajrami,ALB,MF,FW,Sassuolo,24,1999,14.6,460,330,71.7
Mitchel Bakker,NED,DF,-,Atalanta,23,2000,4.2,212,167,78.8
Tommaso Baldanzi,ITA,MF,FW,Empoli | Roma,20,2003,14.1,462,376,81.4
Lameck Banda,ZAM,FW,-,Lecce,22,2001,15,342,250,73.1
Daniel Bandeira,POR,MF,-,Hellas Verona,23,2000,5,233,187,80.3
Mattia Bani,ITA,DF,-,Genoa,29,1993,25.6,1152,962,83.5
Antonin Barak,CZE,MF,FW,Fiorentina,28,1994,9,392,338,86.2
Nicolo Barella,ITA,MF,-,Inter,26,1997,31.6,2168,1835,84.6
Enzo Barrenechea,ARG,MF,-,Frosinone,22,2001,31.2,1903,1624,85.3
Davide Bartesaghi,ITA,DF,MF,Milan,17,2005,0.9,35,28,80
Federico Baschirotto,ITA,DF,-,Lecce,26,1996,36.6,1808,1516,83.8
Toma Basic,CRO,MF,-,Salernitana,26,1996,12.9,540,442,81.9
Alessandro Bastoni,ITA,DF,-,Inter,24,1999,25.2,1935,1671,86.4
Simone Bastoni,ITA,MF,DF,Empoli,26,1996,8.3,360,246,68.3
Reda Belahyane,MAR,MF,-,Hellas Verona,19,2004,1,25,23,92
Raoul Bellanova,ITA,DF,-,Torino,23,2000,33.8,1579,1232,78
Andrea Belotti,ITA,FW,-,Fiorentina | Roma,29,1993,18,356,248,69.7
Lucas Beltran,ARG,FW,MF,Fiorentina,22,2001,18.8,459,360,78.4
Ismael Bennacer,ALG,MF,-,Milan,25,1997,12.8,818,711,86.9
Domenico Berardi,ITA,FW,-,Sassuolo,28,1994,15.9,641,409,63.8
Bartosz Bereszynski,POL,DF,-,Empoli,31,1992,19.6,867,673,77.6
Etrit Berisha,ALB,GK,-,Empoli,34,1989,14,494,339,68.6
Medon Berisha,ALB,FW,MF,Lecce,19,2003,2.3,98,84,85.7
Victor Bernth Kristiansen,DEN,DF,-,Bologna,20,2002,25.6,1688,1422,84.2
Beto,GNB,FW,-,Udinese,25,1998,0.8,11,10,90.9
Davide Bettella,ITA,MF,-,Monza,23,2000,0,5,3,60
Sam Beukema,NED,DF,-,Bologna,24,1998,28.3,2055,1842,89.6
Jaka Bijol,SVN,DF,-,Udinese,24,1999,23.2,822,645,78.5
El Bilal Toure,MLI,FW,-,Atalanta,21,2001,4.4,126,92,73
Cristiano Biraghi,ITA,DF,-,Fiorentina,30,1992,26.2,1842,1388,75.4
Davide Biraschi,ITA,DF,-,Genoa,29,1994,1,37,31,83.8
Samuele Birindelli,ITA,DF,-,Monza,24,1999,22.4,1104,902,81.7
Alexis Blin,FRA,MF,-,Lecce,26,1996,18.2,779,671,86.1
Jerome Boateng,GER,DF,-,Salernitana,34,1988,2.6,126,106,84.1
Emil Bohinen,NOR,MF,-,Genoa | Salernitana,24,1999,6.5,367,288,78.5
Daniel Boloca,ROU,MF,-,Sassuolo,24,1998,22.5,1064,956,89.8
Giacomo Bonaventura,ITA,MF,-,Fiorentina,33,1989,25.3,1126,928,82.4
Federico Bonazzoli,ITA,FW,MF,Hellas Verona,26,1997,11.3,314,242,77.1
Warren Bondo,FRA,MF,-,Monza,19,2003,16.4,621,557,89.7
Giovanni Bonfanti,ITA,DF,-,Atalanta,20,2003,1,57,46,80.7
Kevin Bonifazi,ITA,DF,-,Bologna | Frosinone,27,1996,4.4,227,195,85.9
Gennaro Borrelli,ITA,FW,-,Frosinone,23,2000,0.3,1,0,0
Erik Botheim,NOR,FW,MF,Salernitana,23,2000,3.5,65,48,73.8
Mehdi Bourabia,MAR,MF,-,Frosinone,31,1991,2.2,98,76,77.6
Edoardo Bove,ITA,MF,-,Roma,21,2002,19.8,780,649,83.2
Domagoj Bradaric,CRO,DF,-,Salernitana,23,1999,30.5,1536,1184,77.1
Josip Brekalo,CRO,FW,-,Fiorentina,25,1998,7.2,291,234,80.4
Gleison Bremer,BRA,DF,-,Juventus,26,1997,35.9,1930,1661,86.1
Brenner,BRA,MF,FW,Udinese,23,2000,2.1,54,47,87
Marco Brescianini,ITA,MF,-,Frosinone,23,2000,25.8,804,632,78.6
Dylan Bronn,TUN,DF,MF,Salernitana,28,1995,0.6,12,8,66.7
Tajon Buchanan,CAN,DF,-,Inter,24,1999,1.8,72,58,80.6
Alessandro Buongiorno,ITA,DF,-,Torino,24,1999,28.1,1187,1012,85.3
Rares-Catalin Burnete,ROU,FW,-,Lecce,19,2004,0.1,1,1,100
Jovane Cabral,CPV,MF,FW,Salernitana,25,1998,7.5,245,185,75.5
Liberato Cacace,NZL,DF,-,Empoli,22,2000,21.2,1110,832,75
Jens Cajuste,SWE,MF,-,Napoli,23,1999,11.3,435,369,84.8
Davide Calabria,ITA,DF,-,Milan,26,1996,24.3,1541,1320,85.7
Riccardo Calafiori,ITA,DF,-,Bologna,21,2002,26.1,1810,1622,89.6
Mattia Caldara,ITA,DF,-,Milan,29,1994,0.4,24,20,83.3
Luca Caldirola,ITA,DF,-,Monza,32,1991,23.8,1374,1247,90.8
Hakan Calhanoglu,TUR,MF,-,Inter,29,1994,28.4,2316,2045,88.3
Francesco Camarda,ITA,FW,-,Milan,15,2008,0.2,0,0,0
Nicolo Cambiaghi,ITA,FW,MF,Empoli,22,2000,28.4,694,483,69.6
Andrea Cambiaso,ITA,DF,FW,Juventus,23,2000,26.4,1207,1007,83.4
Matteo Cancellieri,ITA,FW,MF,Empoli,21,2002,19.9,379,222,58.6
Antonio Candreva,ITA,MF,FW,Salernitana,36,1987,30.6,1407,1019,72.4
Luigi Canotto,ITA,FW,-,Frosinone,29,1994,0.2,3,2,66.7
Gianluca Caprari,ITA,MF,FW,Monza,30,1993,3.2,124,98,79
Elia Caprile,ITA,GK,-,Empoli,21,2001,23,820,555,67.7
Francesco Caputo,ITA,FW,-,Empoli,35,1987,14.1,216,164,75.9
Andrea Carboni,ITA,DF,-,Monza,22,2001,16.5,976,833,85.3
Valentin Carboni,ARG,MF,FW,Monza,18,2005,13,523,436,83.4
Marco Carnesecchi,ITA,GK,-,Atalanta,23,2000,26.9,879,619,70.4
Nicolo Casale,ITA,DF,-,Lazio,25,1998,17.3,1024,940,91.8
Giuseppe Caso,ITA,FW,MF,Frosinone,24,1998,4.6,112,95,84.8
Valentin Castellanos,ARG,FW,-,Lazio,24,1998,18.7,452,272,60.2
Samu Castillejo,ESP,FW,MF,Sassuolo,28,1995,6,283,213,75.3
Santiago Castro,ARG,FW,-,Bologna,18,2004,2.7,52,43,82.7
