,EST. BASE SALARY,BIO,,PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)","POS.
 D
F
K
M",AGE,COUNTRY,CLUB
Dusan Vlahovic,"€ 249,231","€ 12,960,000","€ 12,960,000",F,24,Serbia,Juventus
Victor Osimhen,"€ 246,538","€ 12,820,000","€ 12,820,000",F,25,Nigeria,Napoli
Wojciech Szczesny,"€ 231,538","€ 12,040,000","€ 12,040,000",K,33,Poland,Juventus
Nicolò Barella,"€ 231,538","€ 12,040,000","€ 12,040,000",M,27,Italy,Inter Milan
Hakan Çalhanoğlu,"€ 213,654","€ 11,110,000","€ 11,110,000",M,29,Turkey,Inter Milan
Lautaro Martínez,"€ 213,654","€ 11,110,000","€ 11,110,000",F,26,Argentina,Inter Milan
Alex Sandro,"€ 213,654","€ 11,110,000","€ 11,110,000",D,33,Brazil,Juventus
Alessandro Bastoni,"€ 195,962","€ 10,190,000","€ 10,190,000",D,24,Italy,Inter Milan
Bremer,"€ 178,077","€ 9,260,000","€ 9,260,000",D,26,Brazil,Juventus
Federico Chiesa,"€ 178,077","€ 9,260,000","€ 9,260,000",F,26,Italy,Juventus
Romelu Lukaku,"€ 172,500","€ 8,970,000","€ 8,970,000",F,30,Belgium,Roma
Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 8,970,000",M,28,France,Juventus
Marcus Thuram,"€ 147,885","€ 7,690,000","€ 7,690,000",F,26,France,Inter Milan
Luis Alberto,"€ 142,500","€ 7,410,000","€ 7,410,000",M,31,Spain,Lazio
Ciro Immobile,"€ 142,500","€ 7,410,000","€ 7,410,000",F,33,Italy,Lazio
Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,040,000",D,31,Netherlands,Inter Milan
Paulo Dybala,"€ 135,385","€ 7,040,000","€ 7,040,000",F,30,Argentina,Roma
Ismaël Bennacer,"€ 135,385","€ 7,040,000","€ 7,040,000",M,26,Algeria,AC Milan
Federico Dimarco,"€ 124,615","€ 6,480,000","€ 6,480,000",D,26,Italy,Inter Milan
Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 6,480,000",D,27,Italy,Roma
Piotr Zieliński,"€ 124,615","€ 6,480,000","€ 6,480,000",M,29,Poland,Napoli
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 6,480,000",F,27,Italy,Roma
Benjamin Pavard,"€ 123,269","€ 6,410,000","€ 6,410,000",D,27,France,Inter Milan
Rafael Leão,"€ 123,269","€ 6,410,000","€ 6,410,000",F,24,Portugal,AC Milan
Manuel Locatelli,"€ 117,500","€ 6,110,000","€ 6,110,000",M,26,Italy,Juventus
