player,Position,age,minutes played,90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Biraghi,D (L),32,2360,26.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.6,71
Danilo D'Ambrosio,D (R),36,1534,17.04444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.4,68
Flavius Daniliuc,D (RC),23,742,8.244444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,65
Tommaso Corazza,D (R),20,188,2.088888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,N/A
Tajon Buchanan,D  AM (R),26,151,1.677777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,N/A
Libby Cacace,D  DM (L),24,1906,21.17777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,72
Dodo,D  DM (R),26,524,5.822222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,81
Davide Biraschi,D (RC),30,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,7.3,52
Bartosz Bereszynski,D (R),32,1767,19.63333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,65
Danilo,D (LR),33,2450,27.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7.0,77
Dylan Bronn,D (RC),29,48,0.5333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.7,53
Patrick Dorgu,D (L)  AM (R),20,1562,17.35555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,N/A
Mitchel Bakker,D  M (L),24,375,4.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.0,74
Luca Caldirola,D (LC),34,2139,23.76666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,64
Davide Calabria,D (R),28,2195,24.38888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.5,75
Mattia De Sciglio,D (RL),32,46,0.5111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,61
Giovanni Bonfanti,D (L),22,89,0.9888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.7,N/A
Juan David Cabal,D (L),24,1498,16.64444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.4,73
Tommaso Augello,D  M (L),30,2430,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,70
Victor Bernth Kristiansen,D (L),22,2311,25.67777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.5,72
Zeki Celik,D  DM (R),28,663,7.366666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,72
Andrea Carboni,D (L),24,1488,16.53333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.5,76
Bruno Amione,D (LC),23,580,6.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,N/A
Alessandro Bastoni,D (LC),25,2282,25.35555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,7.1,86
Fabien Centonze,D  DM (R),29,675,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,60
Alejandro Jimenez,D (L),19,65,0.7222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,N/A
Rick Karsdorp,D  DM (R),30,1198,13.31111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,69
Koni De Winter,D (RC),22,2381,26.45555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.5,76
Sead Kolasinac,D (L),31,2182,24.24444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.5,85
Tyronne Ebuehi,D (R),29,1096,12.17777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,58
Silvan Hefti,D  M (R),27,110,1.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.7,59
Berat Djimsiti,D (RC),32,2831,31.45555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.7,82
Antonino Gallo,D (L),25,2502,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.3,75
Joao Ferreira,D (RC),23,1812,20.13333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.2,69
Paulo Dentello,D  M (L),30,940,10.44444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.0,63
Koffi Djidji,D (R),32,758,8.422222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.5,61
Alessandro Dellavalle,D (R),20,14,0.1555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-,N/A
Elseid Hysaj,D (LR),31,1193,13.25555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,71
Giulio Donati,D (R),35,32,0.3555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.5,N/A
Valentin Gendrey,D  DM (R),24,3051,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6.3,69
Enzo Ebosse,D (LC),25,8,0.08888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-,54
Alessandro Di Pardo,D  DM (R),25,348,3.866666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.8,N/A
Lorenzo De Silvestri,D  DM (R),36,673,7.477777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.4,67
Angelino,D  M (L),28,1148,12.75555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.2,74
Thomas Kristensen,D (LR),23,2096,23.28888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.4,N/A
Giovanni Di Lorenzo,D (R),31,3235,35.94444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,6.8,81
Josh Doig,D  M (L),22,2184,24.26666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.9,63
Alessandro Florenzi,D (RL),33,1728,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.5,69
Armando Izzo,D (RC),32,1654,18.37777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.6,72
Theo Hernandez,D (L),27,2795,31.05555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,6.7,79
Alex Sandro,D (L),34,715,7.944444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.7,62
Nahitan Nandez,D  AM (R),29,2354,26.15555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6.1,64
Adam Obert,D (LC),22,937,10.41111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5.9,68
Riccardo Marchizza,D  M (L),26,1149,12.76666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.1,54
Babis Lykogiannis,D  M (L),31,899,9.988888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,6.3,76
