,EST. BASE SALARY,BIO,,PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)","POS.
 D
F
K
M",AGE,COUNTRY,CLUB
Romelu Lukaku,"€ 172,500","€ 8,970,000","€ 8,970,000",F,30,Belgium,Roma
Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,040,000",D,31,Netherlands,Inter Milan
Federico Chiesa,"€ 178,077","€ 9,260,000","€ 9,260,000",F,26,Italy,Juventus
Lautaro Martínez,"€ 213,654","€ 11,110,000","€ 11,110,000",F,26,Argentina,Inter Milan
Ciro Immobile,"€ 142,500","€ 7,410,000","€ 7,410,000",F,33,Italy,Lazio
Victor Osimhen,"€ 246,538","€ 12,820,000","€ 12,820,000",F,25,Nigeria,Napoli
Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 6,480,000",D,27,Italy,Roma
Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 8,970,000",M,28,France,Juventus
Hakan Çalhanoğlu,"€ 213,654","€ 11,110,000","€ 11,110,000",M,29,Turkey,Inter Milan
Ismaël Bennacer,"€ 135,385","€ 7,040,000","€ 7,040,000",M,26,Algeria,AC Milan
Alex Sandro,"€ 213,654","€ 11,110,000","€ 11,110,000",D,33,Brazil,Juventus
Piotr Zieliński,"€ 124,615","€ 6,480,000","€ 6,480,000",M,29,Poland,Napoli
Bremer,"€ 178,077","€ 9,260,000","€ 9,260,000",D,26,Brazil,Juventus
Paulo Dybala,"€ 135,385","€ 7,040,000","€ 7,040,000",F,30,Argentina,Roma
Nicolò Barella,"€ 231,538","€ 12,040,000","€ 12,040,000",M,27,Italy,Inter Milan
Rafael Leão,"€ 123,269","€ 6,410,000","€ 6,410,000",F,24,Portugal,AC Milan
Marcus Thuram,"€ 147,885","€ 7,690,000","€ 7,690,000",F,26,France,Inter Milan
Manuel Locatelli,"€ 117,500","€ 6,110,000","€ 6,110,000",M,26,Italy,Juventus
Benjamin Pavard,"€ 123,269","€ 6,410,000","€ 6,410,000",D,27,France,Inter Milan
Alessandro Bastoni,"€ 195,962","€ 10,190,000","€ 10,190,000",D,24,Italy,Inter Milan
Dusan Vlahovic,"€ 249,231","€ 12,960,000","€ 12,960,000",F,24,Serbia,Juventus
Federico Dimarco,"€ 124,615","€ 6,480,000","€ 6,480,000",D,26,Italy,Inter Milan
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 6,480,000",F,27,Italy,Roma
Wojciech Szczesny,"€ 231,538","€ 12,040,000","€ 12,040,000",K,33,Poland,Juventus
Luis Alberto,"€ 142,500","€ 7,410,000","€ 7,410,000",M,31,Spain,Lazio
Nikola Milenkovic,"€ 106,923","€ 5,560,000","€ 5,560,000",D,26,Serbia,Fiorentina
Danilo,"€ 98,654","€ 5,130,000","€ 5,130,000",D,32,Brazil,Juventus
Henrikh Mkhitaryan,"€ 93,654","€ 4,870,000","€ 4,870,000",M,35,Armenia,Inter Milan
Ruben Loftus-Cheek,"€ 98,654","€ 5,130,000","€ 5,130,000",M,28,England,AC Milan
Gianluca Scamacca,"€ 114,038","€ 5,930,000","€ 5,930,000",F,25,Italy,Atalanta
Davide Frattesi,"€ 99,808","€ 5,190,000","€ 5,190,000",M,24,Italy,Inter Milan
Theo Hernández,"€ 98,654","€ 5,130,000","€ 5,130,000",D,26,France,AC Milan
Matteo Politano,"€ 114,038","€ 5,930,000","€ 5,930,000",F,30,Italy,Napoli
Domenico Berardi,"€ 106,923","€ 5,560,000","€ 5,560,000",F,29,Italy,Sassuolo
Tammy Abraham,"€ 110,962","€ 5,770,000","€ 5,770,000",F,26,England,Roma
Giacomo Raspadori,"€ 89,038","€ 4,630,000","€ 4,630,000",F,23,Italy,Napoli
Christian Pulisic,"€ 98,654","€ 5,130,000","€ 5,130,000",F,25,United States,AC Milan
Federico Fazio,"€ 89,038","€ 4,630,000","€ 4,630,000",D,36,Argentina,Salernitana
Leonardo Spinazzola,"€ 106,923","€ 5,560,000","€ 5,560,000",D,30,Italy,Roma
Stephan El Shaarawy,"€ 89,038","€ 4,630,000","€ 4,630,000",F,31,Italy,Roma
Alessandro Florenzi,"€ 106,923","€ 5,560,000","€ 5,560,000",D,32,Italy,AC Milan
Leandro Paredes,"€ 110,962","€ 5,770,000","€ 5,770,000",M,29,Argentina,Roma
Samuel Chukwueze,"€ 98,654","€ 5,130,000","€ 5,130,000",F,24,Nigeria,AC Milan
Alessio Romagnoli,"€ 99,808","€ 5,190,000","€ 5,190,000",D,29,Italy,Lazio
Bryan Cristante,"€ 99,808","€ 5,190,000","€ 5,190,000",M,28,Italy,Roma
Alexis Sánchez,"€ 89,038","€ 4,630,000","€ 4,630,000",F,35,Chile,Inter Milan
Giovanni Di Lorenzo,"€ 106,923","€ 5,560,000","€ 5,560,000",D,30,Italy,Napoli
