player,nation,pos,squad,age,weekly_wages_usd,annual_wages_usd
Dusan Vlahovic,SRB,FW,Juventus,23,"267,835","13,927,395"
Victor Osimhen,NGA,FW,Napoli,24,"264,941","13,776,945"
Wojciech Szczesny,POL,GK,Juventus,33,"248,822","12,938,722"
Alex Sandro,BRA,DF,Juventus,32,"229,602","11,939,303"
Hakan Calhanoglu,TUR,MF,Inter,29,"229,602","11,939,303"
Lautaro Martinez,ARG,FW,Inter,25,"229,602","11,939,303"
Alessandro Bastoni,ITA,DF,Inter,24,"210,589","10,950,629"
Gleison Bremer,BRA,DF,Juventus,26,"191,369","9,951,210"
Federico Chiesa,ITA,FW,Juventus,25,"191,369","9,951,210"
Nicolo Barella,ITA,MF,Inter,26,"191,369","9,951,210"
Romelu Lukaku,BEL,FW,Roma,30,"185,376","9,639,563"
Adrien Rabiot,FRA,MF,Juventus,28,"185,376","9,639,563"
Marcus Thuram,FRA,FW,Inter,25,"158,923","8,264,018"
Ciro Immobile,ITA,FW,Lazio,33,"153,137","7,963,117"
Luis Alberto,ESP,MF,Lazio,30,"153,137","7,963,117"
Paulo Dybala,ARG,"FW,MF",Roma,29,"145,490","7,565,499"
Ismael Bennacer,ALG,MF,Milan,25,"145,490","7,565,499"
Stefan de Vrij,NED,DF,Inter,31,"145,490","7,565,499"
Gianluca Mancini,ITA,DF,Roma,27,"133,917","6,963,698"
Lorenzo Pellegrini,ITA,MF,Roma,27,"133,917","6,963,698"
Piotr Zielinski,POL,MF,Napoli,29,"133,917","6,963,698"
Daniele Rugani,ITA,DF,Juventus,29,"133,917","6,963,698"
Federico Dimarco,ITA,DF,Inter,25,"133,917","6,963,698"
Rafael Leao,POR,FW,Milan,24,"132,471","6,888,473"
Benjamin Pavard,FRA,DF,Inter,27,"132,471","6,888,473"
Manuel Locatelli,ITA,MF,Juventus,25,"126,271","6,566,079"
Gianluca Scamacca,ITA,FW,Atalanta,24,"122,551","6,372,643"
Leandro Paredes,ARG,MF,Roma,29,"119,244","6,200,700"
Tammy Abraham,ENG,FW,Roma,25,"119,244","6,200,700"
Nikola Milenkovic,SRB,DF,Fiorentina,25,"114,904","5,975,025"
Alessio Romagnoli,,DF,Lazio,28,"114,904","5,975,025"
Leonardo Spinazzola,,DF,Roma,30,"114,904","5,975,025"
Giovanni Di Lorenzo,,DF,Napoli,29,"114,904","5,975,025"
Leander Dendoncker,,MF,Napoli,28,"114,904","5,975,025"
Alessandro Florenzi,,DF,Milan,32,"114,904","5,975,025"
Domenico Berardi,,FW,Sassuolo,28,"114,904","5,975,025"
Bryan Cristante,,"MF,DF",Roma,28,"107,258","5,577,406"
Davide Frattesi,,MF,Inter,23,"107,258","5,577,406"
Obite N'Dicka,,DF,Roma,23,"106,018","5,512,927"
Christian Pulisic,,"FW,MF",Milan,24,"106,018","5,512,927"
Ruben Loftus-Cheek,,MF,Milan,27,"106,018","5,512,927"
Samuel Chukwueze,,FW,Milan,24,"106,018","5,512,927"
Theo Hernandez,,DF,Milan,25,"106,018","5,512,927"
Danilo,,DF,Juventus,32,"106,018","5,512,927"
Henrikh Mkhitaryan,,MF,Inter,34,"100,645","5,233,520"
Duvan Zapata,,FW,Torino,32,"95,685","4,975,605"
Federico Fazio,,DF,Salernitana,36,"95,685","4,975,605"
Stephan El Shaarawy,,"FW,DF",Roma,30,"95,685","4,975,605"
Giacomo Raspadori,,"FW,MF",Napoli,23,"95,685","4,975,605"
Alexis Sanchez,,"FW,MF",Inter,34,"95,685","4,975,605"
Juan Cuadrado,,DF,Inter,35,"95,685","4,975,605"
Renato Sanches,,MF,Roma,25,"95,478","4,964,859"
Chris Smalling,,DF,Roma,33,"92,791","4,825,155"
Fikayo Tomori,,DF,Milan,25,"92,791","4,825,155"
Olivier Giroud,,FW,Milan,36,"92,791","4,825,155"
Arkadiusz Milik,,FW,Juventus,29,"92,791","4,825,155"
Andrea Pinamonti,,FW,Sassuolo,24,"91,758","4,771,422"
Rick Karsdorp,,DF,Roma,28,"84,112","4,373,804"
Matteo Politano,,FW,Napoli,29,"84,112","4,373,804"
Mattia Caldara,,DF,Milan,29,"84,112","4,373,804"
Nicolas Gonzalez,,FW,Fiorentina,25,"79,565","4,137,382"
Daichi Kamada,,MF,Lazio,26,"79,565","4,137,382"
Rui Patricio,,GK,Roma,35,"79,565","4,137,382"
Moise Kean,,FW,Juventus,23,"79,565","4,137,382"
Marko Arnautovic,,FW,Inter,34,"79,565","4,137,382"
Riccardo Orsolini,,"FW,MF",Bologna,26,"76,465","3,976,185"
Junior Messias,,"MF,DF",Genoa,32,"76,465","3,976,185"
Elseid Hysaj,,DF,Lazio,29,"76,465","3,976,185"
Mattia Zaccagni,,"FW,MF",Lazio,28,"76,465","3,976,185"
Nicolo Rovella,,MF,Lazio,21,"76,465","3,976,185"
Davide Calabria,,DF,Milan,26,"76,465","3,976,185"
Tiago Djalo,,DF,Juventus,23,"76,465","3,976,185"
Stefano Sensi,,MF,Inter,27,"76,465","3,976,185"
Houssem Aouar,,"MF,FW",Roma,25,"74,192","3,857,974"
Stanislav Lobotka,,MF,Napoli,28,"74,192","3,857,974"
Mike Maignan,,GK,Milan,28,"74,192","3,857,974"
Matias Vecino,,MF,Lazio,31,"72,745","3,782,749"
Leonardo Bonucci,,CB,Juventus,36,"72,332","3,761,256"
Diego Llorente,,DF,Roma,29,"71,505","3,718,271"
Andre-Frank Zambo Anguissa,,MF,Napoli,27,"71,505","3,718,271"
Danilo Cataldi,,MF,Lazio,28,"68,819","3,578,567"
Andrea Petagna,,FW,Cagliari,28,"68,819","3,578,567"
Marash Kumbulla,,CB,Roma,23,"68,819","3,578,567"
Giovanni Simeone,,FW,Napoli,28,"68,819","3,578,567"
Mario Rui,,DF,Napoli,32,"68,819","3,578,567"
Arthur Melo,,MF,Fiorentina,26,"66,339","3,449,609"
Ridgeciano Haps,,DF,Genoa,30,"66,339","3,449,609"
Matteo Guendouzi,,MF,Lazio,24,"66,339","3,449,609"
Charles De Ketelaere,,"FW,MF",Atalanta,22,"66,339","3,449,609"
Amir Rrahmani,,DF,Napoli,29,"66,339","3,449,609"
